id,date,enegry_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min,flag
1,15-12-2011,0.485,0.432045455,0.868,22,0.239145797,9.505,0.072,0
2,16-12-2011,0.1415,0.296166669,1.1160001,48,0.281471318,14.2160001,0.031,0
3,17-12-2011,0.1015,0.1898125,0.685,48,0.188404686,9.111,0.064,0
4,18-12-2011,0.114,0.218979167,0.676,48,0.202919279,10.511,0.065,0
5,19-12-2011,0.191,0.325979167,0.788,48,0.259204962,15.647,0.066,0
6,20-12-2011,0.218,0.3575,1.077,48,0.28759657,17.16,0.066,0
7,21-12-2011,0.1305,0.235083333,0.705,48,0.222069649,11.284,0.066,0
8,22-12-2011,0.089,0.221354167,1.094,48,0.267238875,10.625,0.062,0
9,23-12-2011,0.1605,0.291125,0.749,48,0.249076048,13.974,0.065,0
10,24-12-2011,0.107,0.169,0.613,47,0.150684669,7.943,0.065,0
11,25-12-2011,0.2175,0.3391875,0.866,48,0.263101199,16.281,0.069,0
12,26-12-2011,0.1495,0.261708333,0.838,48,0.244792744,12.562,0.066,0
13,27-12-2011,0.143,0.274,0.778,48,0.252127458,13.152,0.068,0
14,28-12-2011,0.1455,0.300520833,1.207,48,0.298680288,14.425,0.066,0
15,29-12-2011,0.152,0.307041667,0.888,48,0.264454634,14.738,0.066,0
16,30-12-2011,0.135,0.276854167,0.782,48,0.261185757,13.289,0.064,0
17,31-12-2011,0.1515,0.325729167,1.252,48,0.309888294,15.635,0.066,0
18,01-01-2012,0.151,0.256020833,0.812,48,0.225249412,12.289,0.068,0
19,02-01-2012,0.134,0.252083333,0.851,48,0.23721297,12.1,0.068,0
20,03-01-2012,0.1475,0.2355,0.674,48,0.209995339,11.304,0.068,0
21,04-01-2012,0.101,0.216270833,0.731,48,0.215205764,10.381,0.065,0
22,05-01-2012,0.146,0.331020833,0.786,48,0.27337337,15.889,0.063,0
23,06-01-2012,0.1025,0.223645833,0.765,48,0.241187002,10.735,0.064,0
24,07-01-2012,0.0995,0.137395833,0.572,48,0.094495466,6.595,0.065,0
25,08-01-2012,0.025,0.025791667,0.038,48,0.006344568,1.238,0.015,0
26,09-01-2012,0.0255,0.025541667,0.036,48,0.005790522,1.226,0.015,0
27,10-01-2012,0.025,0.0263125,0.039,48,0.007246881,1.263,0.016,0
28,11-01-2012,0.026,0.026375,0.039,48,0.007215896,1.266,0.016,0
29,12-01-2012,0.026,0.026333333,0.039,48,0.007053996,1.264,0.016,0
30,13-01-2012,0.026,0.026395833,0.04,48,0.006551724,1.267,0.016,0
31,14-01-2012,0.026,0.026479167,0.039,48,0.00719926,1.271,0.016,0
32,15-01-2012,0.026,0.026520833,0.039,48,0.006655631,1.273,0.016,0
33,16-01-2012,0.028,0.027104167,0.04,48,0.007146609,1.301,0.016,0
34,17-01-2012,0.026,0.027375,0.041,48,0.007689797,1.314,0.016,0
35,18-01-2012,0.028,0.027729167,0.039,48,0.007154048,1.331,0.016,0
36,19-01-2012,0.028,0.02775,0.04,48,0.00710858,1.332,0.016,0
37,20-01-2012,0.0275,0.0276875,0.042,48,0.006986785,1.329,0.016,0
38,21-01-2012,0.028,0.027375,0.04,48,0.007171531,1.314,0.016,0
39,22-01-2012,0.027,0.0269375,0.04,48,0.006917158,1.293,0.016,0
40,23-01-2012,0.028,0.027583333,0.042,48,0.00686909,1.324,0.017,0
41,24-01-2012,0.029,0.0285,0.045,48,0.007632517,1.368,0.016,0
42,25-01-2012,0.03,0.029020833,0.044,48,0.008014587,1.393,0.016,0
43,26-01-2012,0.075,0.02758333,0.0156,45,0.000256566,1.569,0.0253,0
44,27-01-2012,0.069,0.180124998,2.9619999,48,0.425282802,8.6459999,0.034,0
45,28-01-2012,0.078,0.145729167,1.089,48,0.186010608,6.995,0.027,0
46,29-01-2012,0.1775,0.253479165,1.5319999,48,0.271217261,12.1669999,0.043,0
47,30-01-2012,0.219,0.307729167,0.88,48,0.242683468,14.771,0.062,0
48,31-01-2012,0.0805,0.172729165,1.734,48,0.293090548,8.2909999,0.033,0
49,01-02-2012,0.097,0.1565,0.533,48,0.118147942,7.512,0.034,0
50,02-02-2012,0.078,0.147854167,1.056,48,0.197643133,7.097,0.029,0
51,03-02-2012,0.0695,0.128104167,0.782,48,0.129957807,6.149,0.03,0
52,04-02-2012,0.086,0.126916667,0.578,48,0.107552428,6.092,0.028,0
53,05-02-2012,0.18,0.219479167,1.589,48,0.25058196,10.535,0.034,0
54,06-02-2012,0.131,0.160229167,0.621,48,0.119407267,7.691,0.044,0
55,07-02-2012,0.082,0.160833331,1.3329999,48,0.218096525,7.7199999,0.029,0
56,08-02-2012,0.0995,0.179354167,2.026,48,0.286751838,8.609,0.025,0
57,09-02-2012,0.0685,0.124375,0.927,48,0.149582202,5.97,0.034,0
58,10-02-2012,0.1025,0.1478125,0.453,48,0.107633866,7.095,0.024,0
59,11-02-2012,0.0755,0.163541669,2.0480001,48,0.301811562,7.8500001,0.034,0
60,12-02-2012,0.2345,0.379895833,3.118,48,0.499244546,18.235,0.171,0
61,13-02-2012,0.206,0.198770833,0.69,48,0.112403763,9.541,0.053,0
62,14-02-2012,0.189,0.231833333,2.049,48,0.30162964,11.128,0.039,0
63,15-02-2012,0.0985,0.142354167,0.464,48,0.100041372,6.833,0.04,0
64,16-02-2012,0.0745,0.132875002,1.3660001,48,0.196262498,6.3780001,0.041,0
65,17-02-2012,0.112,0.155625,1.396,48,0.198447874,7.47,0.041,0
66,18-02-2012,0.073,0.151291667,1.789,48,0.262041572,7.262,0.034,0
67,19-02-2012,0.217,0.216979167,0.911,48,0.136228174,10.415,0.043,0
68,20-02-2012,0.145,0.156791667,0.395,48,0.092701066,7.526,0.041,0
69,21-02-2012,0.023,0.12324,0.364,48,0.136558,6.3256,0.041,0
70,22-02-2012,0.265,0.2548,1.259,48,0.1254,10.416,0.051,0
71,23-02-2012,0.3659,0.2549,1.254,48,0.3659,14.259,0.048,0
72,24-02-2012,0.7894,0.145,1.258,35,0.01954,12.489,0.1454,0
73,25-02-2012,1.143,1.091380971,1.7460001,21,0.336173411,22.9190004,0.463,0
74,26-02-2012,0.467,0.710187502,2.9920001,48,0.579858894,34.0890001,0.284,1
75,27-02-2012,0.4335,0.726291663,2.987,48,0.660072327,34.8619998,0.272,1
76,28-02-2012,0.4345,0.727541669,2.2219999,48,0.526666675,34.9220001,0.26,1
77,29-02-2012,0.3485,0.3485625,0.421,48,0.034617611,16.731,0.304,0
78,01-03-2012,0.3355,0.3440625,0.453,48,0.039112172,16.515,0.303,0
79,02-03-2012,0.332,0.341958333,0.454,48,0.0399329,16.414,0.3,0
80,03-03-2012,0.3545,0.481145833,1.625,48,0.324939994,23.095,0.294,0
81,04-03-2012,0.3205,0.33825,0.454,48,0.043642406,16.236,0.295,0
82,05-03-2012,0.344,0.514958333,1.734,48,0.3908074,24.718,0.304,0
83,06-03-2012,0.655,0.895791667,2.2690001,48,0.504006585,42.998,0.321,1
84,07-03-2012,0.57,0.833041673,3.007,48,0.634206768,39.9860003,0.274,1
85,08-03-2012,0.6325,0.880041667,2.461,48,0.616065659,42.242,0.269,0
86,09-03-2012,0.394,0.955125006,3.256,48,0.880927025,45.8460003,0.238,1
87,10-03-2012,0.771,0.885916669,2.2090001,48,0.531591229,42.5240001,0.303,1
88,11-03-2012,0.379,0.439666665,1.3049999,48,0.199084527,21.1039999,0.299,0
89,12-03-2012,0.3605,0.468083329,1.7869999,48,0.293878368,22.4679998,0.297,0
90,13-03-2012,0.6225,0.802687502,1.901,48,0.520021776,38.5290001,0.267,1
91,14-03-2012,0.459,0.6794375,1.906,48,0.47520329,32.613,0.271,0
92,15-03-2012,0.4265,0.755083337,2.2780001,48,0.588557801,36.2440002,0.266,0
93,16-03-2012,0.484,0.667979167,1.559,48,0.491458313,32.063,0.271,0
94,17-03-2012,0.24,0.2439375,0.319,48,0.026661317,11.709,0.207,0
95,18-03-2012,0.2435,0.2435625,0.292,48,0.023869242,11.691,0.208,0
96,19-03-2012,0.241,0.24425,0.298,48,0.022775967,11.724,0.208,0
97,20-03-2012,0.24,0.307145833,1.039,48,0.214719906,14.743,0.206,0
98,21-03-2012,0.541,0.637145833,1.824,48,0.317148464,30.583,0.3,0
99,22-03-2012,0.303,0.3966875,1.252,48,0.215848268,19.041,0.246,0
100,23-03-2012,0.2925,0.345979167,0.663,48,0.115161217,16.607,0.243,0
101,24-03-2012,0.2995,0.3495,0.727,48,0.124848504,16.776,0.238,0
102,25-03-2012,0.2935,0.414625,1.214,48,0.248718043,19.902,0.23,0
103,26-03-2012,0.311,0.372375,1.026,48,0.178449901,17.874,0.241,0
104,27-03-2012,0.28,0.405270831,1.2460001,48,0.281176002,19.4529999,0.234,0
105,28-03-2012,0.2865,0.409354165,1.2359999,48,0.258014465,19.6489999,0.232,0
106,29-03-2012,0.2705,0.2724375,0.501,48,0.042187477,13.077,0.232,0
107,30-03-2012,0.269,0.398395835,2.2090001,48,0.394693521,19.1230001,0.232,0
108,31-03-2012,0.264,0.268104167,0.344,48,0.02781339,12.869,0.233,0
109,01-04-2012,0.2725,0.321083333,0.749,48,0.141129009,15.412,0.234,0
110,02-04-2012,0.3255,0.490374998,1.796,48,0.355699106,23.5379999,0.234,0
111,03-04-2012,0.3845,0.616499998,3.0109999,48,0.569386447,29.5919999,0.193,0
112,04-04-2012,0.3905,0.55125,2.191,48,0.371724532,26.46,0.25,0
113,05-04-2012,0.365,0.547104167,1.584,48,0.373594002,26.261,0.2,0
114,06-04-2012,0.7575,0.778458333,1.9910001,48,0.497388757,37.366,0.201,0
115,07-04-2012,0.3825,0.460208331,1.219,48,0.226857993,22.0899999,0.233,0
116,08-04-2012,0.3495,0.4089375,1.007,48,0.194869122,19.629,0.213,0
117,09-04-2012,0.3755,0.569604169,1.842,48,0.412781732,27.3410001,0.204,0
118,10-04-2012,0.279,0.514583338,1.776,48,0.449144481,24.7000002,0.166,0
119,11-04-2012,0.467,0.710187502,2.9920001,100,0.579858894,34.0890001,0.284,1
120,12-04-2012,0.4335,0.726291663,2.987,120,0.660072327,34.8619998,0.272,1
121,13-04-2012,0.4345,0.727541669,2.2219999,140,0.526666675,34.9220001,0.26,1
122,14-04-2012,0.3485,0.3485625,0.421,150,0.034617611,34.731,0.304,1
123,15-04-2012,0.3355,0.3440625,0.453,160,0.039112172,35.515,0.303,1
124,16-04-2012,0.332,0.341958333,0.454,200,0.0399329,40.414,0.3,1
125,17-04-2012,0.3545,0.481145833,1.625,20,0.324939994,43.095,0.294,0
126,18-04-2012,0.3205,0.33825,0.454,270,0.043642406,45.236,0.295,1
127,19-04-2012,0.344,0.514958333,1.734,300,0.3908074,50.718,0.304,1
128,20-04-2012,0.655,0.895791667,2.2690001,350,0.504006585,42.998,0.321,1
129,21-04-2012,0.57,0.833041673,3.007,400,0.634206768,39.9860003,0.274,1
130,22-04-2012,0.6325,0.880041667,2.461,450,0.616065659,42.242,0.269,1
131,23-04-2012,0.394,0.955125006,3.256,500,0.880927025,45.8460003,0.238,1
132,24-04-2012,0.771,0.885916669,2.2090001,550,0.531591229,42.5240001,0.303,1
133,25-04-2012,0.379,0.439666665,1.3049999,600,0.199084527,21.1039999,0.299,1
134,26-04-2012,0.3605,0.468083329,1.7869999,570,0.293878368,22.4679998,0.297,1
135,27-04-2012,0.6225,0.802687502,1.901,576,0.520021776,38.5290001,0.267,1
136,28-04-2012,0.459,0.6794375,1.906,600,0.47520329,32.613,0.271,1
137,29-04-2012,0.4265,0.755083337,2.2780001,48,0.588557801,36.2440002,0.266,0
138,30-04-2012,0.484,0.667979167,1.559,48,0.491458313,32.063,0.271,0
139,01-05-2012,0.2865,0.409354165,1.2359999,105,0.258014465,34.6489999,0.232,1
140,02-05-2012,0.2705,0.2724375,0.501,110,0.042187477,35.077,0.232,1
141,03-05-2012,0.269,0.398395835,2.2090001,620,0.394693521,45.1230001,0.232,1
142,04-05-2012,0.264,0.268104167,0.344,25,0.02781339,12.869,0.233,0
143,05-05-2012,0.2725,0.321083333,0.749,630,0.141129009,46.412,0.234,1
144,06-05-2012,0.3255,0.490374998,1.796,650,0.355699106,47.5379999,0.234,1
145,07-05-2012,0.3845,0.616499998,3.0109999,670,0.569386447,48.5919999,0.193,1
146,08-05-2012,0.3905,0.55125,2.191,680,0.371724532,49.46,0.25,1
147,09-05-2012,0.365,0.547104167,1.584,690,0.373594002,50.261,0.2,1
148,10-05-2012,0.7575,0.778458333,1.9910001,700,0.497388757,51.366,0.201,1
149,11-05-2012,0.3825,0.460208331,1.219,710,0.226857993,52.0899999,0.233,1
150,12-05-2012,0.3495,0.4089375,1.007,48,0.194869122,19.629,0.213,0
151,13-05-2012,0.3755,0.569604169,1.842,48,0.412781732,27.3410001,0.204,0
152,14-05-2012,0.279,0.514583338,1.776,670,0.449144481,60.7000002,0.166,1
